Location,Total Number of COVID-19 Tests with Results,Share of Tests with Positive COVID-19 Results,"Number of Tests with Results per 1,000 Population"
Alabama,141985,0.077248,29
Alaska,31762,0.012184,43.4
Arizona,134338,0.094344,18.5
Arkansas,75818,0.055871,25.1
California,1104651,0.066233,28
Colorado,114519,0.178791,19.9
Connecticut,149562,0.237119,41.9
Delaware,36857,0.195974,37.9
District of Columbia,32999,0.204127,46.8
Florida,608837,0.070971,28.3
Georgia,285881,0.12543,26.9
Hawaii,38881,0.016409,27.5
Idaho,33754,0.068851,18.9
Illinois,512037,0.17174,40.4
Indiana,160239,0.162588,23.8
Iowa,89294,0.153146,28.3
Kansas,57628,0.12959,19.8
Kentucky,117395,0.060309,26.3
Louisiana,247588,0.135261,53.3
Maine,23657,0.066154,17.6
Maryland,178454,0.201189,29.5
Massachusetts,410032,0.196319,59.5
Michigan,335883,0.147617,33.6
Minnesota,128752,0.104348,22.8
Mississippi,105326,0.099529,35.4
Missouri,127110,0.081166,20.7
Montana,24549,0.01882,23
Nebraska,53341,NA,27.6
Nevada,69484,0.093532,22.6
New Hampshire,39175,0.084212,28.8
New Jersey,451696,0.315929,50.9
New Mexico,115011,NA,54.8
New York,1298757,0.264138,66.8
North Carolina,219268,0.075282,20.9
North Dakota,50246,NA,65.9
Ohio,233352,0.11295,20
Oklahoma,112183,0.044231,28.4
Oregon,84050,0.041392,19.9
Pennsylvania,311195,NA,24.3
Rhode Island,101601,0.118267,95.9
South Carolina,102535,0.079865,19.9
South Dakota,26473,0.14324,29.9
Tennessee,302317,0.055237,44.3
Texas,623284,0.070355,21.5
US Virgin Islands,1233,NA,NA
Utah,160119,0.04215,49.9
Vermont,22505,0.041413,36.1
Virginia,166830,0.166715,19.5
Washington,261080,0.067075,34.3
West Virginia,68713,0.020768,38.3
Wisconsin,133873,0.084222,23
Wyoming,15430,0.045431,26.7
Guam,4379,NA,NA
Northern Mariana Islands,3325,NA,NA
Puerto Rico,2427,1,0.8
